"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AG1","AJ1","AL1","AY1","AY2","GF1","IA1","IA2","KA1","MD1","MW1","OA1","REM","EQD"
"07742099999","1990-01-10T18:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","00750,1,C,N","020000,1,N,9","+0065,1","+0054,1","99999,9","99,0005,9,1",,"0,000",,,"6,1,06,1","2,1,06,1","08,99,1,08,1,05,1,00800,1,99,9,99,9",,,"999,M,+0100,1",,"60,1",,"SYN011333   10100",
"07742099999","1990-01-11T06:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","03600,1,C,N","050000,1,N,9","+0055,1","+0049,1","99999,9","99,0030,9,1",,"0,000",,,,,"05,99,1,01,1,05,1,00450,1,04,1,00,1",,,"999,N,+0055,1",,,,"SYN011333   20055",
"07742099999","1990-01-11T18:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","00750,1,C,N","020000,1,N,9","+0070,1","+0035,1","99999,9","06,0000,9,1",,"4,000",,,,,"08,99,1,08,1,05,1,00800,1,99,9,99,9",,,"999,M,+0095,1",,,,"SYN011333   10095",
"07742099999","1990-01-12T12:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","01200,1,C,N","050000,1,N,9","+0100,1","+0057,1","99999,9","06,0000,9,1",,"4,000",,,,,"05,99,1,05,1,08,1,00800,1,00,1,00,1",,,,,,,,
"07742099999","1990-01-13T06:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0015,1","+0001,1","99999,9","06,0000,9,1",,"4,000",,,,,"02,99,1,02,1,05,1,00450,1,00,1,00,1",,,"999,N,+0010,1",,,,"SYN011333   20010",
"07742099999","1990-01-13T12:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0110,1","+0016,1","99999,9","06,0000,9,1",,"4,000",,,,,"01,99,1,00,1,00,1,99999,9,00,1,01,1",,,,,,,,
"07742099999","1990-01-13T18:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0065,1","+0029,1","99999,9","06,0000,9,1",,"4,000",,,,,"02,99,1,00,1,00,1,99999,9,00,1,01,1",,,"999,M,+0120,1",,,,"SYN011333   10120",
"07742099999","1990-01-14T06:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0025,1","-0017,1","99999,9","06,0000,9,1",,"4,000",,,,,"01,99,1,00,1,00,1,99999,9,00,1,01,1",,,"999,N,+0015,1",,,,"SYN011333   20015",
"07742099999","1990-01-14T12:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0120,1","-0038,1","99999,9","06,0000,9,1",,"4,000",,,,,"04,99,1,02,1,00,1,99999,9,04,1,01,1",,,,,,,,
"07742099999","1990-01-14T18:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0060,1","+0010,1","99999,9","06,0000,9,1",,"4,000",,,,,"04,99,1,02,1,02,1,00800,1,04,1,00,1",,,"999,M,+0120,1",,,,"SYN011333   10120",
"07742099999","1990-01-15T06:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0035,1","-0005,1","99999,9","06,0000,9,1",,"4,000",,,,,"04,99,1,04,1,00,1,99999,9,04,1,00,1",,,"999,N,+0015,1",,,,"SYN011333   20015",
"07742099999","1990-01-15T12:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0125,1","+0050,1","99999,9","06,0000,9,1",,"4,000",,,,,"01,99,1,01,1,01,1,00800,1,00,1,00,1",,,,,,,,
"07742099999","1990-01-15T18:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0070,1","+0022,1","99999,9","06,0000,9,1",,"4,000",,,,,"01,99,1,01,1,00,1,99999,9,04,1,00,1",,,"999,M,+0140,1",,,,"SYN011333   10140",
"07742099999","1990-01-16T06:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","03600,1,C,N","050000,1,N,9","+0045,1","-0025,1","99999,9","06,0000,9,1",,"4,000",,,,,"06,99,1,06,1,00,1,99999,9,03,1,00,1",,,"999,N,+0010,1",,,,"SYN011333   20010",
"07742099999","1990-01-16T12:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0115,1","-0009,1","99999,9","06,0000,9,1",,"4,000",,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,,,,,
