"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","KA1","MA1","REM","EQD"
"07016099999","2010-06-13T05:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0112,1","+0093,1","99999,9","01,0000,2,1",,,,"99999,9,10073,1","SYN058AAXX  13054 07016 36/// ///// 10112 20093 30073 333 60005;",
"07016099999","2010-06-13T06:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0108,1","+0092,1","99999,9","24,0000,9,1",,,"999,N,+0101,1","99999,9,10074,1","SYN074AAXX  13064 07016 36/// ///// 10108 20092 30074 333 20101 70000 555 60005;",
"07016099999","2010-06-13T07:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0118,1","+0092,1","99999,9","01,0000,2,1",,,,"99999,9,10074,1","SYN058AAXX  13074 07016 36/// ///// 10118 20092 30074 333 60005;",
"07016099999","2010-06-13T08:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0136,1","+0096,1","99999,9","01,0000,2,1",,,,"99999,9,10073,1","SYN058AAXX  13084 07016 36/// ///// 10136 20096 30073 333 60005;",
"07016099999","2010-06-13T09:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0147,1","+0084,1","99999,9","03,0000,9,1",,,,"99999,9,10070,1","SYN068AAXX  13094 07016 36/// ///// 10147 20084 30070 333 60007 555 60005;",
"07016099999","2010-06-13T10:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0156,1","+0095,1","99999,9","01,0000,2,1",,,,"99999,9,10066,1","SYN058AAXX  13104 07016 36/// ///// 10156 20095 30066 333 60005;",
"07016099999","2010-06-13T11:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0165,1","+0099,1","99999,9","01,0000,2,1",,,,"99999,9,10063,1","SYN058AAXX  13114 07016 36/// ///// 10165 20099 30063 333 60005;",
"07016099999","2010-06-13T12:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0166,1","+0105,1","99999,9",,,,,"99999,9,10059,1","SYN048AAXX  13124 07016 36/// ///// 10166 20105 30059;",
"07016099999","2010-06-13T13:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0160,1","+0103,1","99999,9","01,0000,2,1",,,,"99999,9,10055,1","SYN058AAXX  13134 07016 36/// ///// 10160 20103 30055 333 60005;",
"07016099999","2010-06-13T14:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0157,1","+0111,1","99999,9","01,0000,2,1",,,,"99999,9,10047,1","SYN058AAXX  13144 07016 36/// ///// 10157 20111 30047 333 60005;",
"07016099999","2010-06-13T15:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0160,1","+0090,1","99999,9","03,0000,9,1",,,,"99999,9,10041,1","SYN068AAXX  13154 07016 36/// ///// 10160 20090 30041 333 60007 555 60005;",
"07016099999","2010-06-13T16:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0157,1","+0107,1","99999,9","01,0000,2,1",,,,"99999,9,10035,1","SYN058AAXX  13164 07016 36/// ///// 10157 20107 30035 333 60005;",
"07016099999","2010-06-13T17:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0150,1","+0110,1","99999,9","01,0000,2,1",,,,"99999,9,10030,1","SYN058AAXX  13174 07016 36/// ///// 10150 20110 30030 333 60005;",
"07016099999","2010-06-13T18:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0149,1","+0093,1","99999,9",,,,"999,M,+0178,1","99999,9,10024,1","SYN068AAXX  13184 07016 36/// ///// 10149 20093 30024 333 10178 555 60005;",
"07016099999","2010-06-13T19:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0140,1","+0094,1","99999,9","01,0000,2,1",,,,"99999,9,10020,1","SYN058AAXX  13194 07016 36/// ///// 10140 20094 30020 333 60005;",
"07016099999","2010-06-13T20:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0133,1","+0090,1","99999,9","01,0000,2,1",,,,"99999,9,10018,1","SYN058AAXX  13204 07016 36/// ///// 10133 20090 30018 333 60005;",
"07016099999","2010-06-13T21:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0120,1","+0090,1","99999,9","03,0000,9,1",,,,"99999,9,10018,1","SYN068AAXX  13214 07016 36/// ///// 10120 20090 30018 333 60007 555 60005;",
"07016099999","2010-06-13T22:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0117,1","+0096,1","99999,9","01,0000,2,1",,,,"99999,9,10013,1","SYN058AAXX  13224 07016 36/// ///// 10117 20096 30013 333 60005;",
"07016099999","2010-06-13T23:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0115,1","+0098,1","99999,9","01,0000,2,1",,,,"99999,9,10009,1","SYN058AAXX  13234 07016 36/// ///// 10115 20098 30009 333 60005;",
"07016099999","2010-06-14T00:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0110,1","+0089,1","99999,9",,,,,"99999,9,10006,1","SYN048AAXX  14004 07016 36/// ///// 10110 20089 30006;",
"07016099999","2010-06-14T01:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0121,1","+0064,1","99999,9","01,0000,2,1",,,,"99999,9,10003,1","SYN058AAXX  14014 07016 36/// ///// 10121 20064 30003 333 60005;",
"07016099999","2010-06-14T02:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0125,1","+0078,1","99999,9","01,0000,2,1",,,,"99999,9,10000,1","SYN058AAXX  14024 07016 36/// ///// 10125 20078 30000 333 60005;",
"07016099999","2010-06-14T03:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0123,1","+0099,1","99999,9","03,0000,9,1",,,,"99999,9,09999,1","SYN068AAXX  14034 07016 36/// ///// 10123 20099 39999 333 60007 555 60005;",
"07016099999","2010-06-14T04:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0121,1","+0100,1","99999,9","01,0000,2,1",,,,"99999,9,09999,1","SYN058AAXX  14044 07016 36/// ///// 10121 20100 39999 333 60005;",
"07016099999","2010-06-14T05:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0120,1","+0106,1","99999,9","01,0000,2,1",,,,"99999,9,09999,1","SYN058AAXX  14054 07016 36/// ///// 10120 20106 39999 333 60005;",
"07016099999","2010-06-14T06:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0123,1","+0100,1","99999,9","24,0000,9,1",,,"999,N,+0110,1","99999,9,10002,1","SYN074AAXX  14064 07016 36/// ///// 10123 20100 30002 333 20110 70000 555 60005;",
"07016099999","2010-06-14T07:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0130,1","+0102,1","99999,9","01,0000,2,1",,,,"99999,9,10006,1","SYN058AAXX  14074 07016 36/// ///// 10130 20102 30006 333 60005;",
"07016099999","2010-06-14T08:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0138,1","+0106,1","99999,9","01,0000,2,1",,,,"99999,9,10015,1","SYN058AAXX  14084 07016 36/// ///// 10138 20106 30015 333 60005;",
"07016099999","2010-06-14T09:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0135,1","+0109,1","99999,9","03,0000,9,1",,,,"99999,9,10021,1","SYN068AAXX  14094 07016 36/// ///// 10135 20109 30021 333 60007 555 60005;",
"07016099999","2010-06-14T10:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0148,1","+0123,1","99999,9","01,0000,2,1",,,,"99999,9,10029,1","SYN058AAXX  14104 07016 36/// ///// 10148 20123 30029 333 60005;",
"07016099999","2010-06-14T11:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0156,1","+0129,1","99999,9","01,0000,2,1",,,,"99999,9,10034,1","SYN058AAXX  14114 07016 36/// ///// 10156 20129 30034 333 60005;",
"07016099999","2010-06-14T12:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0146,1","+0121,1","99999,9",,,,,"99999,9,10038,1","SYN048AAXX  14124 07016 36/// ///// 10146 20121 30038;",
"07016099999","2010-06-14T13:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0148,1","+0116,1","99999,9","01,0000,2,1",,,,"99999,9,10038,1","SYN058AAXX  14134 07016 36/// ///// 10148 20116 30038 333 60005;",
"07016099999","2010-06-14T14:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0146,1","+0114,1","99999,9","01,0000,2,1",,,,"99999,9,10042,1","SYN058AAXX  14144 07016 36/// ///// 10146 20114 30042 333 60005;",
"07016099999","2010-06-14T15:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0150,1","+0114,1","99999,9","03,0000,9,1",,,,"99999,9,10041,1","SYN068AAXX  14154 07016 36/// ///// 10150 20114 30041 333 60007 555 60005;",
"07016099999","2010-06-14T16:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0152,1","+0118,1","99999,9","01,0000,2,1",,,,"99999,9,10044,1","SYN058AAXX  14164 07016 36/// ///// 10152 20118 30044 333 60005;",
