"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","AY1","GA1","GA2","GA3","GA4","GF1","MA1","MW1","OC1","REM","EQD"
"07301399999","1990-01-03T11:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","080,1,N,0041,1","99999,1,C,Y","009900,1,N,1","+0070,1","+0050,1","99999,9","2,999",,,,,,,"10129,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T12:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","090,1,N,0051,1","99999,1,C,Y","009900,1,N,1","+0080,1","+0050,1","99999,9","2,000",,,,,,,"10119,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T13:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","100,1,N,0041,1","99999,1,C,Y","009900,1,N,1","+0090,1","+0050,1","99999,9","2,999",,,,,,,"10119,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T14:20:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","120,1,N,0051,1","99999,1,C,Y","009900,1,N,1","+0100,1","+0050,1","99999,9","2,999",,,,,,,"10119,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T15:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","110,1,N,0031,1","99999,1,C,Y","009900,1,N,1","+0090,1","+0050,1","99999,9","2,000",,,,,,,"10119,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T16:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","060,1,N,0031,1","99999,1,C,Y","009900,1,N,1","+0070,1","+0050,1","99999,9","2,999",,,,,,,"10129,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-04T04:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","050,1,N,0021,1","99999,1,C,Y","009900,1,N,1","+0010,1","+0010,1","99999,9","2,999",,,,,,,"10190,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-04T06:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","050,1,N,0021,1","99999,1,C,Y","009900,1,N,1","+0010,1","+0010,1","99999,9","2,000",,,,,,,"10190,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-04T07:20:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","080,1,N,0021,1","99999,1,C,Y","009900,1,N,1","+0000,1","+0000,1","99999,9","2,999",,,,,,,"10200,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-04T08:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","070,1,N,0021,1","22000,1,C,N","004000,1,N,1","+0010,1","+0010,1","99999,9","2,999",,"01,1,+02400,9,03,9",,,,,"10200,1,99999,9","10,1",,,
"07301399999","1990-01-04T09:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","110,1,N,0010,1","22000,1,C,N","004000,1,N,1","+0020,1","+0020,1","99999,9","2,000",,"01,1,+02400,9,03,9","03,1,+07500,9,00,9",,,,"10210,1,99999,9","10,1",,,
"07301399999","1990-01-04T10:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","100,1,N,0021,1","22000,1,C,N","003500,1,N,1","+0030,1","+0030,1","99999,9","2,999",,"02,1,+02400,9,03,9","03,1,+07500,9,00,9",,,,"10220,1,99999,9","10,1",,,
"07301399999","1990-01-04T10:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","110,1,N,0010,1","22000,1,C,N","004500,1,N,1","+0070,1","+0070,1","99999,9","2,999",,"02,1,+02400,9,03,9",,,,,"10220,1,99999,9","10,1",,,
"07301399999","1990-01-04T13:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","170,1,N,0010,1","99999,1,C,Y","009900,1,N,1","+0110,1","+0080,1","99999,9","2,999",,,,,,,"10220,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-04T14:20:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","180,1,N,0010,1","99999,1,C,Y","009900,1,N,1","+0120,1","+0090,1","99999,9","2,999",,,,,,,"10220,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-04T15:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","190,1,N,0010,1","99999,1,C,Y","009900,1,N,1","+0120,1","+0090,1","99999,9","2,000",,,,,,,"10220,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
